,Unnamed: 0,Month,Production,Date
0,0,Jul-2012,2465064,2012-07-11
1,1,Aug-2012,2373954,2012-08-11
2,2,Sep-2012,2410375,2012-09-11
3,3,Oct-2012,2557140,2012-10-11
4,4,Nov-2012,2471365,2012-11-11
5,5,Dec-2012,2523763,2012-12-11
6,6,Jan-2013,2512031,2013-01-11
7,7,Feb-2013,2269907,2013-02-11
8,8,Mar-2013,2504000,2013-03-11
9,9,Apr-2013,2446307,2013-04-11
10,10,May-2013,2488677,2013-05-11
11,11,Jun-2013,2385386,2013-06-11
12,12,Jul-2013,2512441,2013-07-11
13,13,Aug-2013,2495089,2013-08-11
14,14,Sep-2013,2414405,2013-09-11
15,15,Oct-2013,2513172,2013-10-11
16,16,Nov-2013,2455169,2013-11-11
17,17,Dec-2013,2525967,2013-12-11
18,18,Jan-2014,2580019,2014-01-11
19,19,Feb-2014,2356978,2014-02-11
20,20,Mar-2014,2623914,2014-03-11
21,21,Apr-2014,2583873,2014-04-11
22,22,May-2014,2633253,2014-05-11
23,23,Jun-2014,2560033,2014-06-11
24,24,Jul-2014,2629156,2014-07-11
25,25,Aug-2014,2644937,2014-08-11
26,26,Sep-2014,2625503,2014-09-11
27,27,Oct-2014,2735719,2014-10-11
28,28,Nov-2014,2661917,2014-11-11
29,29,Dec-2014,2770080,2014-12-11
30,30,Jan-2015,2790052,2015-01-11
31,31,Feb-2015,2520509,2015-02-11
32,32,Mar-2015,2827524,2015-03-11
33,33,Apr-2015,2758730,2015-04-11
34,34,May-2015,2790849,2015-05-11
35,35,Jun-2015,2660158,2015-06-11
36,36,Jul-2015,2756222,2015-07-11
37,37,Aug-2015,2744748,2015-08-11
38,38,Sep-2015,2721449,2015-09-11
39,39,Oct-2015,2806078,2015-10-11
40,40,Nov-2015,2726220,2015-11-11
41,41,Dec-2015,2812110,2015-12-11
42,42,Jan-2016,2823104,2016-01-11
43,43,Feb-2016,2653842,2016-02-11
44,44,Mar-2016,2824983,2016-03-11
45,45,Apr-2016,2678610,2016-04-11
46,46,May-2016,2767844,2016-05-11
47,47,Jun-2016,2628164,2016-06-11
48,48,Jul-2016,2721210,2016-07-11
49,49,Aug-2016,2722631,2016-08-11
50,50,Sep-2016,2626213,2016-09-11
51,51,Oct-2016,2720187,2016-10-11
52,52,Nov-2016,2678247,2016-11-11
53,53,Dec-2016,2746543,2016-12-11
54,54,Jan-2017,2723628,2017-01-11
55,55,Feb-2017,2493267,2017-02-11
56,56,Mar-2017,2797117,2017-03-11
57,57,Apr-2017,2689967,2017-04-11
58,58,May-2017,2778965,2017-05-11
59,59,Jun-2017,2688422,2017-06-11
60,60,Jul-2017,2753997,2017-07-11
61,61,Aug-2017,2769670,2017-08-11
62,62,Sep-2017,2763285,2017-09-11
63,63,Oct-2017,2911373,2017-10-11
64,64,Nov-2017,2897003,2017-11-11
65,65,Dec-2017,3025419,2017-12-11
66,66,Jan-2018,2993178,2018-01-11
67,67,Feb-2018,2751215,2018-02-11
68,68,Mar-2018,3069284,2018-03-11
69,69,Apr-2018,2976108,2018-04-11
70,70,May-2018,3098558,2018-05-11
71,71,Jun-2018,2972738,2018-06-11
72,72,Jul-2018,3138242,2018-07-11
73,73,Aug-2018,3206177,2018-08-11
74,74,Sep-2018,3153978,2018-09-11
75,75,Oct-2018,3314676,2018-10-11
76,76,Nov-2018,3259912,2018-11-11
77,77,Dec-2018,3391473,2018-12-11
78,78,Jan-2019,3376735,2019-01-11
79,79,Feb-2019,3056916,2019-02-11
80,80,Mar-2019,3383042,2019-03-11
81,81,Apr-2019,3315270,2019-04-11
82,82,May-2019,3424018,2019-05-11
83,83,Jun-2019,3299794,2019-06-11
84,84,Jul-2019,3395984,2019-07-11
85,85,Aug-2019,3448106,2019-08-11
86,86,Sep-2019,3396571,2019-09-11
87,87,Oct-2019,3551970,2019-10-11
88,88,Nov-2019,3509293,2019-11-11
89,89,Dec-2019,3622512,2019-12-11
90,90,Jan-2020,3596775,2020-01-11
91,91,Feb-2020,3363434,2020-02-11
92,92,Mar-2020,3582414,2020-03-11
93,93,Apr-2020,3374224,2020-04-11
94,94,May-2020,3285105,2020-05-11
95,95,Jun-2020,3217496,2020-06-11
96,96,Jul-2020,3373594,2020-07-11
97,97,Aug-2020,3349817,2020-08-11
98,98,Sep-2020,3265272,2020-09-11
99,99,Oct-2020,3363756,2020-10-11
100,100,Nov-2020,3352374,2020-11-11
101,101,Dec-2020,3489506,2020-12-11
102,102,Jan-2021,3506258,2021-01-11
103,103,Feb-2021,2923896,2021-02-11
104,104,Mar-2021,3482323,2021-03-11
105,105,Apr-2021,3408930,2021-04-11
106,106,May-2021,3510356,2021-05-11
107,107,Jun-2021,3391187,2021-06-11
108,108,Jul-2021,3490995,2021-07-11
109,109,Aug-2021,3530753,2021-08-11
110,110,Sep-2021,3412770,2021-09-11
111,111,Oct-2021,3595255,2021-10-11
112,112,Nov-2021,3551645,2021-11-11
113,113,Dec-2021,3679110,2021-12-11
114,114,Jan-2022,3591006,2022-01-11
115,115,Feb-2022,3224933,2022-02-11
116,116,Mar-2022,3614779,2022-03-11
