,Unnamed: 0,Month,Production,Date
0,0,Jul-2012,6431,2012-07-11
1,1,Aug-2012,6350,2012-08-11
2,2,Sep-2012,6597,2012-09-11
3,3,Oct-2012,6969,2012-10-11
4,4,Nov-2012,7081,2012-11-11
5,5,Dec-2012,7105,2012-12-11
6,6,Jan-2013,7084,2013-01-11
7,7,Feb-2013,7156,2013-02-11
8,8,Mar-2013,7215,2013-03-11
9,9,Apr-2013,7375,2013-04-11
10,10,May-2013,7327,2013-05-11
11,11,Jun-2013,7279,2013-06-11
12,12,Jul-2013,7524,2013-07-11
13,13,Aug-2013,7536,2013-08-11
14,14,Sep-2013,7839,2013-09-11
15,15,Oct-2013,7761,2013-10-11
16,16,Nov-2013,7920,2013-11-11
17,17,Dec-2013,7934,2013-12-11
18,18,Jan-2014,8078,2014-01-11
19,19,Feb-2014,8157,2014-02-11
20,20,Mar-2014,8297,2014-03-11
21,21,Apr-2014,8527,2014-04-11
22,22,May-2014,8645,2014-05-11
23,23,Jun-2014,8743,2014-06-11
24,24,Jul-2014,8843,2014-07-11
25,25,Aug-2014,8929,2014-08-11
26,26,Sep-2014,9086,2014-09-11
27,27,Oct-2014,9264,2014-10-11
28,28,Nov-2014,9326,2014-11-11
29,29,Dec-2014,9564,2014-12-11
30,30,Jan-2015,9382,2015-01-11
31,31,Feb-2015,9504,2015-02-11
32,32,Mar-2015,9582,2015-03-11
33,33,Apr-2015,9658,2015-04-11
34,34,May-2015,9474,2015-05-11
35,35,Jun-2015,9358,2015-06-11
36,36,Jul-2015,9446,2015-07-11
37,37,Aug-2015,9409,2015-08-11
38,38,Sep-2015,9480,2015-09-11
39,39,Oct-2015,9400,2015-10-11
40,40,Nov-2015,9332,2015-11-11
41,41,Dec-2015,9275,2015-12-11
42,42,Jan-2016,9201,2016-01-11
43,43,Feb-2016,9063,2016-02-11
44,44,Mar-2016,9088,2016-03-11
45,45,Apr-2016,8871,2016-04-11
46,46,May-2016,8832,2016-05-11
47,47,Jun-2016,8672,2016-06-11
48,48,Jul-2016,8660,2016-07-11
49,49,Aug-2016,8688,2016-08-11
50,50,Sep-2016,8542,2016-09-11
51,51,Oct-2016,8802,2016-10-11
52,52,Nov-2016,8901,2016-11-11
53,53,Dec-2016,8814,2016-12-11
54,54,Jan-2017,8873,2017-01-11
55,55,Feb-2017,9109,2017-02-11
56,56,Mar-2017,9168,2017-03-11
57,57,Apr-2017,9103,2017-04-11
58,58,May-2017,9184,2017-05-11
59,59,Jun-2017,9110,2017-06-11
60,60,Jul-2017,9246,2017-07-11
61,61,Aug-2017,9245,2017-08-11
62,62,Sep-2017,9516,2017-09-11
63,63,Oct-2017,9659,2017-10-11
64,64,Nov-2017,10077,2017-11-11
65,65,Dec-2017,9979,2017-12-11
66,66,Jan-2018,9996,2018-01-11
67,67,Feb-2018,10276,2018-02-11
68,68,Mar-2018,10461,2018-03-11
69,69,Apr-2018,10493,2018-04-11
70,70,May-2018,10424,2018-05-11
71,71,Jun-2018,10628,2018-06-11
72,72,Jul-2018,10888,2018-07-11
73,73,Aug-2018,11373,2018-08-11
74,74,Sep-2018,11422,2018-09-11
75,75,Oct-2018,11488,2018-10-11
76,76,Nov-2018,11868,2018-11-11
77,77,Dec-2018,11924,2018-12-11
78,78,Jan-2019,11848,2019-01-11
79,79,Feb-2019,11653,2019-02-11
80,80,Mar-2019,11899,2019-03-11
81,81,Apr-2019,12125,2019-04-11
82,82,May-2019,12141,2019-05-11
83,83,Jun-2019,12179,2019-06-11
84,84,Jul-2019,11896,2019-07-11
85,85,Aug-2019,12475,2019-08-11
86,86,Sep-2019,12572,2019-09-11
87,87,Oct-2019,12771,2019-10-11
88,88,Nov-2019,12966,2019-11-11
89,89,Dec-2019,12910,2019-12-11
90,90,Jan-2020,12785,2020-01-11
91,91,Feb-2020,12826,2020-02-11
92,92,Mar-2020,12816,2020-03-11
93,93,Apr-2020,11911,2020-04-11
94,94,May-2020,9711,2020-05-11
95,95,Jun-2020,10420,2020-06-11
96,96,Jul-2020,10956,2020-07-11
97,97,Aug-2020,10558,2020-08-11
98,98,Sep-2020,10868,2020-09-11
99,99,Oct-2020,10413,2020-10-11
100,100,Nov-2020,11121,2020-11-11
101,101,Dec-2020,11084,2020-12-11
102,102,Jan-2021,11056,2021-01-11
103,103,Feb-2021,9773,2021-02-11
104,104,Mar-2021,11160,2021-03-11
105,105,Apr-2021,11230,2021-04-11
106,106,May-2021,11334,2021-05-11
107,107,Jun-2021,11288,2021-06-11
108,108,Jul-2021,11330,2021-07-11
109,109,Aug-2021,11206,2021-08-11
110,110,Sep-2021,10851,2021-09-11
111,111,Oct-2021,11526,2021-10-11
112,112,Nov-2021,11769,2021-11-11
113,113,Dec-2021,11604,2021-12-11
114,114,Jan-2022,11369,2022-01-11
115,115,Feb-2022,11306,2022-02-11
116,116,Mar-2022,11655,2022-03-11
