Dates,AAPL,ADBE,ADI,ADP,ADSK,AEP,ALGN,AMAT,AMD,AMGN,AMZN,ANSS,BIDU,ATVI,AVGO,BIIB,CMCSA,BKNG,CDNS,CHTR,CPRT,CSCO,CTAS,CSX,COST,DXCM,DLTR,CTSH,EBAY,EXC,FAST,FTNT,GILD,EA,FISV
Jun-21-2017,760.54b,71.36b,29.35b,45.86b,23.29b,35.60b,12.00b,46.88b,13.21b,126.09b,479.05b,10.47b,62.50b,45.73b,99.66b,59.10b,191.05b,91.78b,9.58b,89.33b,7.14b,159.20b,13.65b,48.15b,71.56b,6.77b,16.11b,40.00b,37.84b,33.96b,12.35b,6.63b,88.20b,35.04b,26.63b
Jun-22-2017,759.29b,71.08b,29.85b,45.60b,23.53b,35.30b,12.02b,46.57b,13.59b,127.91b,478.60b,10.49b,62.20b,46.09b,99.22b,59.51b,189.43b,91.54b,9.58b,89.39b,7.20b,159.25b,13.60b,48.53b,70.08b,6.80b,16.02b,39.53b,38.01b,33.95b,12.38b,6.64b,92.10b,34.87b,26.53b
Jun-23-2017,762.68b,71.93b,29.93b,45.37b,23.75b,35.18b,12.33b,47.38b,13.39b,126.94b,479.77b,10.48b,61.79b,45.55b,99.72b,59.46b,187.35b,92.10b,9.58b,88.50b,7.26b,160.45b,13.63b,48.58b,68.92b,6.68b,15.76b,39.69b,38.50b,33.80b,12.40b,6.73b,92.15b,34.32b,26.51b
Jun-26-2017,760.28b,71.71b,29.57b,45.73b,23.39b,35.34b,12.18b,46.48b,13.31b,127.80b,475.10b,10.50b,61.90b,45.39b,98.70b,59.35b,187.77b,92.20b,9.59b,89.00b,7.24b,161.20b,13.64b,49.01b,70.26b,6.72b,16.21b,39.73b,37.98b,34.46b,12.34b,6.65b,93.09b,34.63b,26.41b
Jun-27-2017,749.39b,70.51b,28.68b,45.41b,22.68b,34.77b,12.00b,45.02b,12.66b,125.73b,466.88b,10.37b,60.91b,43.93b,95.68b,57.54b,186.16b,91.31b,9.42b,88.25b,7.20b,158.80b,13.25b,49.19b,69.85b,6.47b,16.38b,39.19b,37.78b,34.04b,12.18b,6.54b,92.32b,33.53b,26.09b
Jun-28-2017,760.33b,70.96b,29.07b,45.94b,22.98b,34.49b,12.23b,45.88b,12.50b,128.10b,473.36b,10.43b,61.74b,44.32b,98.01b,58.26b,189.05b,92.88b,9.53b,91.04b,7.26b,160.40b,13.35b,50.36b,70.25b,6.50b,16.56b,39.48b,38.22b,33.52b,12.28b,6.63b,93.98b,33.69b,26.35b
Jun-29-2017,749.12b,69.69b,28.53b,45.39b,22.35b,34.22b,11.94b,44.53b,11.91b,127.01b,466.48b,10.30b,62.31b,43.40b,95.16b,57.67b,184.36b,92.24b,9.35b,89.82b,7.23b,157.05b,13.10b,49.66b,69.60b,6.33b,16.50b,38.96b,37.35b,33.19b,12.30b,6.63b,92.59b,33.03b,25.83b
Jun-30-2017,750.90b,69.79b,28.55b,45.84b,22.22b,34.16b,12.06b,44.39b,11.79b,126.66b,462.68b,10.40b,62.04b,43.39b,94.76b,57.56b,184.60b,91.92b,9.36b,90.12b,7.32b,156.50b,13.27b,50.34b,70.14b,6.32b,16.55b,39.11b,37.80b,33.40b,12.59b,6.58b,92.49b,32.73b,25.98b
Jul-03-2017,748.19b,68.29b,27.93b,45.82b,21.90b,33.93b,11.97b,44.07b,11.48b,127.08b,455.83b,10.30b,62.43b,42.40b,93.42b,57.81b,181.94b,90.57b,9.25b,87.93b,7.33b,156.65b,13.27b,50.27b,69.66b,6.26b,16.54b,39.29b,37.45b,33.19b,12.74b,6.53b,92.39b,32.64b,25.76b
Jul-05-2017,751.26b,69.67b,28.53b,46.56b,22.61b,33.84b,12.21b,45.26b,12.46b,128.15b,464.31b,10.33b,63.77b,43.08b,94.17b,58.91b,183.60b,91.70b,9.30b,89.66b,7.29b,155.55b,13.28b,50.83b,69.31b,6.32b,16.14b,39.40b,37.58b,32.90b,12.78b,6.79b,92.59b,33.05b,25.98b
Jul-06-2017,744.17b,69.45b,28.38b,46.28b,22.49b,33.94b,12.03b,45.25b,12.30b,126.28b,461.32b,10.34b,63.06b,42.67b,95.57b,57.69b,181.42b,92.00b,9.31b,88.87b,7.01b,153.60b,13.03b,50.37b,68.90b,6.15b,16.08b,39.04b,36.83b,33.04b,12.75b,6.68b,90.79b,32.74b,25.87b
Jul-07-2017,751.73b,70.17b,28.80b,47.04b,22.77b,34.00b,12.21b,46.79b,12.63b,126.07b,467.83b,10.46b,62.92b,43.78b,97.43b,58.11b,182.94b,94.28b,9.41b,88.94b,7.13b,154.50b,13.28b,50.61b,67.59b,6.25b,16.09b,39.44b,37.05b,32.95b,12.70b,6.77b,90.49b,33.26b,26.07b
Jul-10-2017,756.32b,70.72b,28.89b,46.38b,22.86b,33.87b,12.18b,47.51b,13.05b,126.64b,476.29b,10.45b,63.45b,44.10b,98.30b,58.03b,183.84b,94.44b,9.48b,90.05b,7.10b,154.90b,13.33b,50.64b,66.23b,6.13b,15.71b,39.63b,37.93b,33.12b,12.66b,6.77b,90.54b,33.39b,26.08b
Jul-11-2017,758.77b,70.52b,29.31b,45.56b,22.99b,33.85b,12.18b,48.79b,13.13b,127.46b,475.17b,10.50b,63.97b,43.70b,97.94b,57.65b,183.88b,94.80b,9.55b,90.39b,7.16b,155.45b,13.25b,49.95b,66.28b,6.17b,15.83b,39.82b,38.09b,33.08b,12.61b,6.83b,90.62b,33.57b,25.92b
Jul-12-2017,759.87b,71.99b,29.50b,45.86b,23.51b,33.92b,12.25b,48.66b,13.50b,127.42b,481.09b,10.65b,64.78b,45.99b,100.19b,58.35b,185.07b,95.64b,9.71b,91.67b,7.19b,155.80b,13.39b,50.92b,66.56b,6.20b,15.95b,40.13b,39.00b,33.40b,12.30b,6.94b,91.21b,34.26b,26.22b
Jul-13-2017,770.45b,71.57b,29.46b,45.47b,23.60b,33.57b,12.23b,48.68b,12.79b,128.72b,478.28b,10.65b,64.84b,45.60b,100.55b,59.05b,186.45b,95.37b,9.63b,90.71b,7.18b,156.35b,13.32b,50.59b,67.37b,6.05b,16.23b,39.99b,39.51b,33.08b,12.43b,7.04b,92.23b,33.74b,26.18b
Jul-14-2017,777.07b,72.12b,29.93b,45.35b,23.97b,33.52b,12.40b,49.56b,13.15b,130.26b,478.85b,10.65b,65.40b,45.78b,101.77b,59.57b,185.92b,95.87b,9.71b,91.71b,7.16b,157.10b,13.32b,50.82b,67.10b,6.19b,16.36b,40.54b,40.13b,33.40b,12.35b,7.05b,92.22b,33.74b,26.25b
Jul-17-2017,779.78b,72.23b,29.76b,45.50b,23.57b,33.71b,12.55b,49.59b,13.04b,130.46b,482.78b,10.66b,65.29b,45.60b,101.25b,59.96b,185.92b,95.60b,9.70b,91.58b,7.17b,157.50b,13.29b,50.39b,67.03b,6.11b,16.54b,40.58b,40.10b,34.29b,12.24b,7.07b,92.97b,33.88b,26.60b
Jul-18-2017,782.49b,72.97b,29.78b,45.32b,23.74b,33.61b,12.53b,50.10b,12.74b,130.52b,489.67b,10.69b,65.74b,46.22b,102.01b,59.95b,185.83b,97.11b,9.73b,92.20b,7.17b,157.55b,13.21b,50.41b,66.45b,6.04b,16.40b,40.52b,39.83b,34.41b,12.50b,7.11b,93.68b,34.14b,26.56b
Jul-19-2017,787.39b,73.48b,29.50b,45.97b,24.30b,33.76b,12.80b,50.70b,12.81b,131.77b,490.82b,10.79b,66.22b,46.22b,103.44b,59.81b,186.59b,97.89b,9.88b,92.73b,7.23b,159.50b,13.28b,47.37b,66.33b,6.05b,16.65b,40.94b,40.13b,34.63b,12.29b,7.22b,95.03b,34.54b,26.71b
Jul-20-2017,783.85b,73.98b,29.67b,46.24b,24.22b,33.78b,12.87b,50.78b,13.04b,131.87b,491.70b,10.77b,66.36b,46.03b,103.04b,59.70b,187.30b,98.24b,9.81b,92.38b,7.26b,159.30b,13.36b,46.46b,66.22b,6.05b,16.75b,41.21b,40.24b,34.82b,12.40b,7.16b,95.94b,34.66b,26.81b
Jul-21-2017,783.48b,73.77b,28.98b,46.79b,24.19b,34.41b,12.76b,50.30b,13.12b,132.53b,490.25b,10.83b,67.01b,45.92b,102.91b,60.01b,187.96b,98.03b,9.78b,93.66b,7.27b,159.20b,14.59b,47.20b,65.98b,6.00b,16.78b,41.22b,39.18b,34.71b,12.21b,7.10b,96.38b,34.74b,26.91b
