Dates,GOOGL,HON,ISRG,INTC,INTU,IDXX,ILMN,KDP,KHC,JD,KLAC,LULU,LRCX,MCHP,MELI,MAR,MNST,MDLZ,MTCH,MRVL,MSFT,NVDA,NTES,MU,NXPI,NFLX,ODFL,PANW,ORLY,PAYX,PCAR,PEP,PYPL,REGN,QCOM
Jun-21-2017,670.30b,102.34b,35.12b,162.84b,35.93b,14.68b,25.90b,#N/A,108.86b,58.32b,15.36b,7.29b,24.34b,18.54b,12.23b,39.45b,29.07b,68.25b,#N/A,8.82b,542.52b,94.88b,42.49b,35.41b,36.78b,66.82b,7.60b,12.21b,20.09b,21.53b,22.04b,167.73b,64.32b,55.20b,83.22b
Jun-22-2017,668.80b,102.21b,35.15b,161.80b,35.87b,14.67b,26.72b,#N/A,108.49b,58.66b,15.15b,7.42b,24.20b,18.37b,12.18b,39.36b,28.87b,68.05b,#N/A,8.83b,542.44b,94.23b,42.70b,35.28b,36.90b,66.76b,7.54b,12.49b,20.03b,21.34b,22.04b,165.92b,64.71b,55.67b,83.43b
Jun-23-2017,675.02b,102.15b,34.96b,161.00b,35.97b,14.75b,27.05b,#N/A,108.19b,60.96b,15.35b,7.57b,24.48b,18.72b,12.15b,39.43b,29.52b,68.13b,#N/A,8.88b,549.78b,91.53b,43.78b,35.10b,37.06b,68.11b,7.60b,12.71b,20.03b,21.28b,21.96b,167.08b,65.26b,54.70b,84.08b
Jun-26-2017,665.57b,102.35b,34.65b,160.44b,35.46b,14.63b,26.41b,#N/A,108.30b,61.15b,15.05b,7.59b,24.03b,18.42b,11.83b,39.38b,29.25b,68.13b,#N/A,8.87b,544.53b,90.53b,42.09b,35.96b,36.97b,67.88b,7.62b,12.59b,20.29b,21.28b,22.20b,167.31b,64.56b,54.55b,83.56b
Jun-27-2017,648.64b,101.34b,34.48b,158.46b,34.66b,14.31b,25.75b,#N/A,106.56b,57.76b,14.72b,7.52b,23.33b,18.06b,11.30b,38.28b,28.56b,66.71b,#N/A,8.44b,534.34b,87.22b,40.89b,35.03b,36.90b,65.09b,7.66b,12.39b,20.19b,21.06b,22.06b,165.62b,63.34b,53.09b,81.89b
Jun-28-2017,657.66b,102.13b,34.86b,161.05b,34.68b,14.51b,26.43b,#N/A,106.93b,58.59b,15.01b,7.68b,23.85b,18.31b,11.58b,38.64b,28.99b,66.82b,#N/A,8.61b,538.89b,90.29b,41.67b,35.67b,37.03b,66.12b,7.89b,12.51b,19.75b,20.72b,22.96b,166.25b,65.34b,54.26b,82.97b
Jun-29-2017,641.79b,100.87b,34.28b,157.94b,34.10b,14.15b,25.81b,#N/A,104.42b,56.07b,14.50b,8.08b,22.96b,17.75b,11.15b,37.97b,28.34b,65.43b,#N/A,8.46b,528.78b,87.27b,39.65b,34.82b,36.86b,64.69b,7.83b,12.37b,19.66b,20.37b,22.94b,164.53b,64.17b,53.92b,81.38b
Jun-30-2017,635.84b,101.61b,34.46b,158.88b,34.03b,14.22b,25.33b,#N/A,104.28b,55.67b,14.35b,8.16b,22.81b,17.71b,11.08b,38.01b,28.21b,65.53b,#N/A,8.30b,532.17b,86.01b,39.46b,33.14b,36.88b,64.40b,7.85b,12.29b,19.91b,20.46b,23.20b,164.98b,64.47b,51.93b,81.58b
Jul-03-2017,628.84b,101.93b,33.95b,157.56b,33.74b,14.04b,25.42b,#N/A,102.85b,55.16b,14.35b,8.20b,22.47b,17.39b,11.07b,37.93b,28.23b,65.55b,#N/A,8.09b,526.31b,82.90b,38.96b,32.35b,36.82b,63.00b,7.98b,12.21b,20.06b,20.32b,23.54b,164.91b,63.51b,51.57b,81.19b
Jul-05-2017,637.76b,102.00b,34.56b,161.71b,33.82b,14.22b,25.46b,#N/A,102.03b,56.44b,14.47b,8.17b,22.99b,17.88b,10.99b,38.33b,28.11b,65.43b,#N/A,8.21b,533.33b,85.11b,38.61b,33.87b,36.79b,63.62b,8.05b,12.29b,16.27b,20.66b,23.32b,164.71b,65.60b,52.55b,81.92b
Jul-06-2017,634.45b,101.67b,34.44b,158.36b,33.59b,14.03b,25.16b,#N/A,100.84b,55.51b,14.50b,7.93b,23.21b,17.69b,11.09b,37.76b,28.58b,65.33b,#N/A,8.08b,529.40b,85.37b,38.96b,33.41b,36.82b,63.03b,7.99b,12.18b,16.07b,20.48b,23.61b,164.46b,64.23b,51.83b,80.95b
Jul-07-2017,643.10b,102.25b,34.79b,159.54b,33.80b,14.23b,25.13b,#N/A,101.11b,55.67b,14.82b,7.98b,23.89b,17.98b,11.29b,38.02b,28.79b,65.58b,#N/A,8.11b,536.27b,87.32b,38.83b,33.52b,36.76b,64.73b,8.07b,12.50b,15.73b,20.64b,23.75b,165.01b,64.83b,52.50b,81.78b
Jul-10-2017,650.15b,102.68b,34.90b,158.46b,33.79b,14.23b,24.67b,#N/A,100.78b,57.37b,14.99b,8.02b,24.33b,18.07b,11.47b,38.16b,28.68b,65.32b,#N/A,8.10b,540.28b,91.45b,39.51b,33.86b,36.84b,65.80b,8.09b,12.63b,15.76b,20.79b,24.06b,163.23b,66.00b,52.86b,82.20b
Jul-11-2017,651.47b,102.32b,34.72b,159.73b,33.91b,14.25b,25.28b,#N/A,101.98b,57.93b,15.19b,8.04b,24.80b,18.15b,11.59b,38.17b,28.38b,65.23b,#N/A,8.07b,540.36b,92.75b,40.51b,34.82b,36.81b,66.52b,8.04b,12.75b,15.84b,20.34b,24.07b,162.14b,65.78b,52.02b,81.75b
Jul-12-2017,661.11b,102.74b,34.94b,161.28b,34.20b,14.51b,25.29b,#N/A,103.13b,58.82b,15.32b,8.03b,24.94b,18.39b,12.11b,38.19b,28.63b,65.61b,#N/A,8.23b,549.31b,96.69b,41.28b,34.91b,36.78b,68.42b,8.16b,12.80b,16.12b,20.57b,24.07b,163.61b,67.93b,52.55b,83.03b
Jul-13-2017,662.68b,103.17b,34.58b,161.24b,33.92b,14.42b,25.26b,#N/A,103.32b,58.81b,15.30b,8.11b,24.99b,18.50b,11.99b,38.15b,28.85b,65.68b,#N/A,8.27b,554.10b,95.57b,40.34b,34.56b,36.80b,68.19b,8.18b,12.95b,16.80b,20.56b,23.98b,162.54b,69.55b,53.40b,83.08b
Jul-14-2017,668.52b,103.55b,35.06b,163.31b,34.05b,14.67b,25.16b,#N/A,104.29b,59.63b,15.62b,8.18b,25.37b,18.81b,12.08b,38.26b,29.34b,66.18b,#N/A,8.33b,561.90b,98.15b,40.74b,35.29b,36.86b,69.44b,8.24b,12.76b,16.77b,20.52b,24.12b,163.83b,68.66b,53.39b,83.93b
Jul-17-2017,667.30b,103.11b,34.93b,162.32b,34.10b,14.63b,25.07b,#N/A,104.23b,59.09b,15.54b,8.17b,25.32b,18.86b,12.19b,38.40b,29.26b,66.29b,#N/A,8.17b,566.30b,97.73b,39.64b,35.21b,36.88b,69.69b,8.19b,12.73b,16.88b,20.44b,23.97b,163.83b,69.17b,52.67b,83.42b
Jul-18-2017,675.25b,103.06b,34.87b,162.60b,34.24b,14.59b,25.35b,#N/A,104.23b,61.02b,15.65b,8.12b,25.70b,18.98b,12.37b,38.65b,29.44b,66.46b,#N/A,8.15b,565.91b,98.75b,40.59b,35.41b,36.88b,79.13b,8.10b,12.80b,17.07b,20.41b,24.05b,163.95b,70.83b,52.62b,83.16b
Jul-19-2017,679.16b,103.79b,35.62b,162.74b,34.64b,14.79b,25.39b,#N/A,104.34b,61.35b,15.89b,8.39b,26.49b,19.16b,12.39b,38.74b,29.66b,66.97b,#N/A,8.28b,570.24b,98.23b,40.29b,35.32b,36.93b,79.38b,8.09b,12.93b,17.01b,20.44b,24.07b,164.42b,70.09b,53.59b,83.81b
Jul-20-2017,678.01b,102.88b,35.80b,163.64b,34.68b,14.74b,25.11b,#N/A,104.59b,60.92b,15.94b,8.35b,26.58b,19.33b,12.46b,38.80b,29.74b,66.47b,#N/A,8.28b,572.09b,99.66b,40.51b,35.52b,36.97b,79.27b,8.01b,12.81b,17.17b,20.55b,24.08b,164.66b,70.98b,55.10b,79.66b
Jul-21-2017,680.23b,103.70b,34.46b,163.54b,34.55b,14.68b,25.22b,#N/A,104.91b,61.15b,15.66b,8.47b,26.38b,18.82b,12.38b,38.97b,29.86b,66.81b,#N/A,8.17b,568.77b,100.02b,40.32b,35.53b,37.02b,81.40b,8.03b,12.74b,17.13b,20.56b,24.19b,166.26b,70.48b,54.55b,79.47b
