Dates,ROST,SBUX,SIRI,SPLK,SNPS,SWKS,SGEN,TMUS,TSLA,TXN,VRSN,VRSK,VRTX,WBA,WDAY,XEL,TEAM,OKTA,ZS,DOCU,PDD,ZM,MRNA,CRWD,DDOG,LCID,ABNB
Jun-21-2017,22.14b,86.83b,24.63b,7.91b,11.22b,19.06b,9.06b,52.82b,62.26b,79.38b,9.46b,13.90b,33.58b,84.44b,21.16b,24.14b,7.85b,2.47b,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jun-22-2017,21.78b,86.18b,24.63b,8.14b,11.21b,19.05b,9.03b,52.81b,63.29b,78.76b,9.49b,13.73b,33.76b,82.55b,21.29b,24.04b,7.96b,2.51b,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jun-23-2017,21.91b,86.61b,25.15b,8.09b,11.18b,19.26b,8.81b,52.67b,63.43b,79.29b,9.54b,13.62b,33.25b,82.52b,21.39b,23.93b,8.12b,2.43b,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jun-26-2017,22.07b,86.36b,24.91b,8.00b,11.20b,18.70b,8.07b,52.47b,62.44b,78.02b,9.49b,13.75b,33.23b,83.81b,21.16b,24.06b,8.10b,2.41b,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jun-27-2017,22.00b,85.38b,24.72b,7.76b,11.07b,18.06b,7.33b,50.69b,59.94b,76.67b,9.42b,13.69b,32.19b,83.51b,20.36b,23.87b,8.04b,2.29b,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jun-28-2017,22.49b,85.70b,25.38b,7.90b,11.16b,18.15b,7.81b,51.08b,61.41b,77.77b,9.52b,13.88b,32.66b,83.33b,20.48b,23.60b,8.14b,2.29b,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jun-29-2017,22.30b,84.51b,25.19b,8.00b,10.97b,17.74b,7.60b,50.10b,59.68b,76.62b,9.49b,13.78b,31.69b,83.86b,19.97b,23.34b,7.93b,2.22b,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jun-30-2017,22.47b,84.44b,25.71b,7.87b,10.96b,17.70b,7.38b,50.37b,59.82b,76.65b,9.43b,13.95b,32.10b,83.80b,20.08b,23.30b,7.93b,2.17b,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jul-03-2017,22.66b,84.35b,25.29b,7.80b,10.84b,17.59b,7.45b,49.85b,58.33b,76.13b,9.53b,13.92b,31.94b,83.61b,19.77b,23.14b,7.70b,2.14b,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jul-05-2017,22.34b,83.90b,25.47b,7.82b,10.93b,18.00b,7.50b,49.81b,54.11b,76.63b,9.58b,13.94b,32.13b,84.15b,20.07b,23.12b,7.82b,2.13b,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
